GR	log10(LLD)	log10(MSFL)	DT	RHOB	NPHI	PEF	POR	Kg	ln(Kg)
28.86	1.9407	1.8959	53.3	2.59	0.03	5.33	4.99	0.25	-1.385
28.37	1.85	1.4267	55.3	2.56	0.04	5.17	9.8	2.44	0.892
23.49	1.7892	1.3241	57	2.58	0.06	4.98	7.32	0.477	-0.739
21.58	1.7545	1.4263	56.7	2.58	0.06	5.48	4.5	0.115	-2.164
20.42	1.8686	1.4411	55.02	2.57	0.03	5.93	5.91	0.304	-1.191
44.44	1.9508	2.0562	53.83	2.63	0.02	4.82	4.29	0.436	-0.829
48.18	1.8988	2.1882	55.12	2.61	0.03	4.85	5.55	0.198	-1.621
39.48	1.9104	1.9181	54.4	2.61	0.02	4.75	6.06	0.415	-0.88
26.51	1.9136	2.2371	53.5	2.66	0.01	4.82	2.9	0.275	-1.289
27.5	2.2091	2.0309	50.6	2.7	0.01	5.82	1.82	0.291	-1.235
22.81	2.2117	2.5165	53.2	2.67	0.02	5.65	4.75	0.345	-1.065
42.1	1.8611	1.1937	55.3	2.31	0.11	3.49	6.74	15.177	2.72
50.38	1.8501	1.7547	56.49	2.34	0.1	3.94	9.95	31.198	3.44
32.91	2.0991	1.6416	56.97	2.61	0.04	5.34	5.9	1.027	0.027
35.22	2.0299	1.6979	56.7	2.6	0.04	5.03	7.37	2.219	0.797
37.69	2.0776	2.1148	55.3	2.6	0.04	5.27	6.09	0.72	-0.329
17.88	2.0568	2.0528	54.7	2.61	0.04	5.39	4.45	0.926	-0.077
23.87	2.0138	1.759	56.7	2.58	0.06	5.15	6.04	7.905	2.067
34.06	1.8778	1.6494	57.9	2.53	0.06	4.94	10.83	17.171	2.843
31.34	1.9983	2.0801	54.27	2.61	0.04	5.65	6.4	1.624	0.485
33.18	1.9553	1.9168	54.2	2.6	0.03	5.67	6.39	5.376	1.682
32.4	1.9751	1.9138	54	2.62	0.02	4.99	5.22	10.612	2.362
32.7	2.0148	2.1783	53.6	2.64	0.02	5.68	4.28	6.597	1.887
34.06	2.0843	1.9388	53.18	2.63	0.02	5.3	5.88	1.184	0.169
31.09	2.1853	1.9829	52.07	2.66	0.02	5.12	3.43	0.457	-0.783
26.25	2.2368	2.0239	52.27	2.66	0.01	5.05	2.38	0.716	-0.333
21.95	2.2823	2.1886	51.8	2.66	0.01	5.47	2.89	2.158	0.769
27.77	2.1009	1.7399	56.6	2.6	0.04	5.13	6.24	0.389	-0.945
33.41	2.0996	1.5649	56.57	2.59	0.05	4.86	4.7	0.329	-1.112
18.73	2.0312	2.0906	52.8	2.64	0.03	5.01	5.59	1.438	0.364
18.73	2.0513	2.2999	52.9	2.63	0.04	5.39	5.81	1.053	0.052
13.28	1.9742	2.5941	55.6	2.59	0.05	4.89	6.26	1.025	0.024
12.62	1.6849	1.994	53.5	2.65	0.03	5.01	3.05	1.012	0.012
13.39	1.7166	1.9	55.2	2.62	0.03	4.49	7.6	1.786	0.58
11.65	1.8156	2.2636	54.3	2.62	0.04	4.69	6.44	9.798	2.282
12.56	1.8065	2.0304	53.76	2.62	0.04	5.43	7.07	13.03	2.567
12.49	1.7617	1.7477	53.4	2.63	0.02	5.4	5.46	17.503	2.862
14.86	0.8802	0.6618	69.5	2.44	0.18	4.33	15.3	6.66	1.896
14.71	0.8716	0.8549	71.5	2.4	0.2	4.57	19.69	56.72	4.038
22.6	0.9841	0.9263	67.03	2.45	0.17	4.71	15.99	5.3	1.668
20.17	0.9708	0.9624	65.57	2.44	0.15	4.37	17	21.18	3.053
20.58	0.9566	0.8267	67.59	2.43	0.16	4.31	17.18	10.375	2.339
23.87	0.9269	0.721	69.79	2.39	0.19	4.45	17.19	5.724	1.745
18.89	0.9405	0.8716	69.42	2.41	0.17	4.66	18.71	10.897	2.388
30.89	1.0438	0.7731	57.71	2.5	0.08	4.43	10.61	7.135	1.965
24.68	1.2258	1.9614	54.13	2.57	0.05	5.34	7.55	0.407	-0.899
24.11	1.2797	0.837	52.5	2.63	0.03	5.13	4.79	0.776	-0.253
29.32	1.4007	1.3028	55.4	2.6	0.02	4.37	4.72	0.251	-1.382
43.91	1.78	2.1194	53.5	2.62	0.02	4.96	5.8	4.308	1.46
40.64	1.6949	2.281	55.6	2.59	0.04	4.98	4.98	5.491	1.703
29.93	1.7013	1.5886	55.1	2.59	0.03	5.16	6.26	0.505	-0.683
33.25	1.6349	1.5997	56.2	2.62	0.04	4.2	3.76	0.15	-1.899
32.34	1.656	1.9623	55.7	2.63	0.03	3.94	3.73	1.241	0.216
28.02	1.6514	1.8865	55.3	2.61	0.03	3.8	3.34	0.49	-0.713
28.55	1.6102	2.1921	55.7	2.62	0.04	3.98	3.94	1.089	0.086
25.92	1.5781	1.68	56.33	2.61	0.03	4.13	2.71	0.3	-1.205
25.45	1.6272	1.6611	55.9	2.62	0.03	3.93	5.16	0.197	-1.622
22	1.7926	1.942	53.52	2.65	0.02	4.2	4.58	2.027	0.707
20.69	1.9614	1.9601	52.71	2.67	0.01	4.78	2.69	0.284	-1.26
23.61	2.008	2.4491	51.6	2.68	0.01	5.08	2.58	0.363	-1.012
25.77	1.978	1.9634	52	2.68	0.01	4.65	4.55	0.311	-1.167
26.27	1.8624	1.8949	53.8	2.65	0.02	4.11	4.63	0.27	-1.31
48.95	1.4728	1.897	58.5	2.61	0.06	3.68	6.45	0.12	-2.124
33.52	1.769	1.6968	56.66	2.67	0.08	5.14	5.05	0.25	-1.387
17.38	2.1665	1.9103	53.78	2.63	0.09	5.27	10.52	0.959	-0.042
13.59	1.8528	2.8549	58.88	2.55	0.13	4.93	12.75	3.588	1.278
12.31	1.7659	1.7065	62.64	2.49	0.15	4.89	12.66	2.795	1.028
12.25	1.8269	1.4967	62.16	2.52	0.13	4.86	9.37	1.383	0.324
14.89	1.8592	1.3709	61.15	2.53	0.12	4.93	10.06	1.73	0.548
23.06	2.0611	2.0397	55.03	2.62	0.05	5.71	7.97	0.659	-0.417
27.68	2.0025	1.6177	55.42	2.61	0.05	5.35	6	4.382	1.478
19.81	2.0136	2.1004	52.25	2.66	0.04	5.46	9.1	0.24	-1.427
17.82	2.0574	2.27	50.31	2.68	0.02	5.77	1.84	0.035	-3.363
19.83	2.1114	2.2338	50.34	2.68	0.02	5.17	1.42	0.11	-2.211
24.15	1.8319	2.0107	59.29	2.55	0.11	5.32	1.64	5.907	1.776
29.09	1.5494	1.4971	64.56	2.41	0.17	5.32	23.98	39.721	3.682
19.18	1.7054	1.4639	59.33	2.49	0.11	5.17	11.96	10.016	2.304
14.66	2.0134	1.7824	54.47	2.59	0.06	5.21	8.51	0.829	-0.187
15	2.298	2.1458	51.84	2.66	0.03	5.53	2.98	0.014	-4.259
16.62	2.3957	2.2762	50.14	2.68	0.02	5.21	1.14	0.194	-1.638
17.41	2.2056	2.4093	51.3	2.67	0.03	5.32	3.56	0.046	-3.083
19.4	2.0974	2.0946	51.8	2.66	0.04	5.39	4.27	1.848	0.614
18.41	2.1529	2.1015	50.5	2.65	0.03	5.23	2.23	0.052	-2.957
17.23	2.1795	2.0658	49.96	2.67	0.03	4.93	0.98	0.055	-2.905
18.23	2.1302	2.2087	50.86	2.66	0.03	4.72	0.96	0.065	-2.736
21.35	2.0038	2.1191	54.28	2.59	0.07	4.73	6.45	0.045	-3.107
24.02	1.7426	1.9862	59.11	2.51	0.12	4.56	11.33	1.339	0.292
19.37	1.4822	1.1942	62.16	2.45	0.16	4.7	13.53	5.916	1.778
17.04	1.3766	1.1458	61.58	2.48	0.14	4.8	12	1.924	0.654
15.99	1.4191	1.3664	59.09	2.51	0.12	5.15	10.63	0.547	-0.604
14.04	1.5441	1.4619	58.06	2.55	0.1	5.11	9.64	4.074	1.405
11.58	1.5587	1.5866	59.84	2.51	0.12	4.79	10.68	5.416	1.689
11.15	1.4333	1.2209	61.88	2.47	0.14	4.71	11.87	3.024	1.107
11.33	1.303	1.4326	63.14	2.47	0.15	4.67	14.72	4.289	1.456
10.85	1.2068	1.1232	63.7	2.48	0.16	5.13	15.64	5.179	1.645
10.94	1.2345	1.2206	63.48	2.48	0.15	4.95	12.86	2.012	0.699
